Wall time,Step,Value
,36621,0.2693
,36671,0.2683
,36721,0.2697
,36771,0.2699
,36821,0.2691
,36871,0.2685
,36921,0.2682
,36971,0.2686
,37021,0.269
,37071,0.2686
,37121,0.2676
,37171,0.2672
,37221,0.2671
,37271,0.2676
,37321,0.2698
,37371,0.2698
,37421,0.269
,37471,0.2685
,37521,0.2693
,37571,0.2687
,37621,0.269
,37671,0.2687
,37721,0.2681
,37771,0.2679
,37821,0.2671
,37871,0.2671
,37921,0.2668
,37971,0.2667
,38021,0.2671
,38071,0.2669
,38121,0.2678
,38171,0.2691
,38221,0.2687
,38271,0.268
,38321,0.2679
,38371,0.2683
,38421,0.2693
,38471,0.2729
,38521,0.2745
,38571,0.2744
,38621,0.2746
,38671,0.2745
,38721,0.2745
,38771,0.274
,38821,0.2736
,38871,0.2743
,38921,0.2741
,38971,0.2748
,39021,0.2744
,39071,0.2744
,39121,0.2741
,39171,0.2737
,39221,0.2737
,39271,0.2734
,39281,0.3031
,39331,0.222
,39381,0.2403
,39431,0.2437
,39481,0.2739
,39531,0.2789
,39581,0.2793
,39631,0.2759
,39681,0.2761
,39731,0.271
,39781,0.2675
,39831,0.2661
,39881,0.2641
,39931,0.2625
,39981,0.2627
,40031,0.2595
,40081,0.2576
,40131,0.2559
,40181,0.2603
,40231,0.262
,40281,0.2616
,40331,0.2602
,40381,0.2605
,40431,0.2608
,40481,0.2616
,40531,0.2615
,40581,0.2603
,40631,0.2615
,40681,0.2603
,40731,0.263
,40781,0.2627
,40831,0.2617
,40881,0.2624
,40931,0.2636
,40981,0.2639
,41031,0.2642
,41081,0.2638
,41131,0.2644
,41181,0.2638
,41231,0.2632
,41281,0.2631
,41331,0.2625
,41381,0.2663
,41431,0.2663
,41481,0.2651
,41531,0.2646
,41581,0.2656
,41631,0.2654
,41681,0.2642
,41731,0.264
,41781,0.2647
,41831,0.2648
,41881,0.2641
,41931,0.2645
,41981,0.2649
,42031,0.2638
,42081,0.263
,42131,0.2629
,42181,0.2623
,42231,0.2618
,42281,0.2606
,42331,0.2613
,42381,0.2614
,42431,0.2613
,42481,0.2622
,42531,0.2625
,42581,0.2635
,42631,0.2636
,42681,0.2634
,42731,0.2633
,42781,0.2628
,42831,0.2625
,42881,0.2623
,42931,0.262
,42981,0.2617
,43031,0.2628
,43081,0.2631
,43131,0.2622
,43181,0.2626
,43231,0.2631
,43281,0.2627
,43331,0.2624
,43381,0.2619
,43431,0.2611
,43481,0.2608
,43531,0.2606
,43581,0.2604
,43631,0.2607
,43681,0.2612
,43731,0.2606
,43781,0.2604
,43831,0.2606
,43881,0.2604
,43931,0.2603
,43981,0.2604
,44031,0.2599
,44081,0.2596
,44131,0.2592
,44181,0.259
,44191,0.1773
,44241,0.2283
,44291,0.2351
,44341,0.2508
,44391,0.2444
,44441,0.2455
,44491,0.2436
,44541,0.2418
,44591,0.2433
,44641,0.2425
,44691,0.2415
,44741,0.2395
,44791,0.2461
,44841,0.2487
,44891,0.2542
,44941,0.258
,44991,0.2574
,45041,0.2587
,45091,0.2568
,45141,0.2563
,45191,0.2548
,45241,0.2525
,45291,0.2509
,45341,0.2527
,45391,0.2534
,45441,0.2525
,45491,0.2519
,45541,0.2504
,45591,0.249
,45641,0.2485
,45691,0.2488
,45741,0.2475
,45791,0.2473
,45841,0.2458
,45891,0.2444
,45941,0.2454
,45991,0.2478
,46041,0.2494
,46091,0.2498
,46141,0.2498
,46191,0.2495
,46241,0.2494
,46291,0.2536
,46341,0.2535
,46391,0.2534
,46441,0.254
,46491,0.2538
,46541,0.2542
,46591,0.2543
,46641,0.2549
,46691,0.2554
,46741,0.2552
,46791,0.2554
,46841,0.2566
,46891,0.2565
,46941,0.2557
,46991,0.2568
,47041,0.2565
,47091,0.2558
,47141,0.2564
,47191,0.2558
,47241,0.256
,47291,0.2558
,47341,0.2554
,47391,0.2551
,47441,0.2558
,47491,0.2554
,47541,0.2559
,47591,0.256
,47641,0.2557
,47691,0.2558
,47741,0.2552
,47791,0.2548
,47841,0.2548
,47891,0.2554
,47941,0.2552
,47991,0.2556
,48041,0.2552
,48091,0.2547
,48141,0.2543
,48191,0.2542
,48241,0.2539
,48291,0.2535
,48341,0.2533
,48391,0.2527
,48441,0.2521
,48491,0.2518
,48541,0.2514
,48591,0.2511
,48641,0.2507
,48691,0.2504
,48741,0.2505
,48791,0.2501
,48841,0.2499
,48891,0.2494
,48941,0.2488
,48991,0.2489
,49041,0.2489
,49091,0.2487
,49101,0.3326
,49151,0.2899
,49201,0.279
,49251,0.2644
,49301,0.2555
,49351,0.26
,49401,0.266
,49451,0.2604
,49501,0.262
,49551,0.2714
,49601,0.2725
,49651,0.2671
,49701,0.2653
,49751,0.2621
,49801,0.2586
,49851,0.2564
,49901,0.2535
,49951,0.2513
,50001,0.2487
,50051,0.246
,50101,0.2445
,50151,0.243
,50201,0.2414
,50251,0.2421
,50301,0.2414
,50351,0.2415
,50401,0.2423
,50451,0.2423
,50501,0.2416
,50551,0.242
,50601,0.2404
,50651,0.2386
,50701,0.2379
,50751,0.2384
,50801,0.2377
,50851,0.2367
,50901,0.2368
,50951,0.2358
,51001,0.2352
,51051,0.2358
,51101,0.2356
,51151,0.2353
,51201,0.2353
,51251,0.2354
,51301,0.2352
,51351,0.2352
,51401,0.2353
,51451,0.2347
,51501,0.239
,51551,0.2392
,51601,0.2406
,51651,0.2407
,51701,0.2405
,51751,0.2405
,51801,0.2403
,51851,0.2401
,51901,0.2407
,51951,0.2415
,52001,0.2425
,52051,0.2418
,52101,0.2414
,52151,0.2414
,52201,0.2415
,52251,0.2414
,52301,0.2407
,52351,0.2404
,52401,0.2403
,52451,0.2397
,52501,0.2397
,52551,0.241
,52601,0.2415
,52651,0.2417
,52701,0.2418
,52751,0.2416
,52801,0.2418
,52851,0.2419
,52901,0.2416
,52951,0.2417
,53001,0.2418
,53051,0.2415
,53101,0.2415
,53151,0.2415
,53201,0.2415
,53251,0.2414
,53301,0.2409
,53351,0.2406
,53401,0.2404
,53451,0.2401
,53501,0.2405
,53551,0.2407
,53601,0.2405
,53651,0.2407
,53701,0.2404
,53751,0.2397
,53801,0.2397
,53851,0.2402
,53901,0.2404
,53951,0.2405
,54001,0.2407
,54011,0.1414
,54061,0.3041
,54111,0.2667
,54161,0.2584
,54211,0.2604
,54261,0.2499
,54311,0.2427
,54361,0.2432
,54411,0.2438
,54461,0.2397
,54511,0.2408
,54561,0.2415
,54611,0.2433
,54661,0.2404
,54711,0.2411
,54761,0.2393
,54811,0.2398
,54861,0.2422
,54911,0.2438
,54961,0.2424
,55011,0.24
,55061,0.2387
,55111,0.2374
,55161,0.2352
,55211,0.2359
,55261,0.2348
,55311,0.2333
,55361,0.2318
,55411,0.2324
,55461,0.2315
,55511,0.2314
,55561,0.2316
,55611,0.2314
,55661,0.2311
,55711,0.2321
,55761,0.2321
,55811,0.2318
,55861,0.232
,55911,0.2318
,55961,0.2323
,56011,0.2321
,56061,0.2331
,56111,0.234
,56161,0.2343
,56211,0.2359
,56261,0.2364
,56311,0.2366
,56361,0.2363
,56411,0.2359
,56461,0.2362
