Wall time,Step,Value
,54718,0.2987
,54768,0.3005
,54818,0.3007
,54868,0.3015
,54918,0.3006
,54968,0.2995
,55018,0.2999
,55068,0.2997
,55118,0.2986
,55168,0.3012
,55218,0.3016
,55268,0.3029
,55318,0.3032
,55368,0.3026
,55418,0.3055
,55468,0.3051
,55518,0.3045
,55568,0.304
,55618,0.3032
,55668,0.303
,55718,0.3029
,55768,0.3025
,55818,0.3023
,55868,0.3019
,55918,0.3014
,55968,0.3021
,56018,0.3024
,56068,0.3018
,56118,0.3009
,56168,0.3016
,56218,0.3025
,56268,0.3026
,56318,0.3023
,56368,0.3015
,56418,0.3011
,56468,0.3013
,56518,0.3021
,56568,0.3028
,56618,0.3026
,56668,0.3019
,56718,0.3014
,56768,0.3009
,56818,0.3002
,56868,0.2998
,56918,0.3002
,56968,0.3007
,57018,0.3011
,57068,0.3019
,57118,0.3013
,57168,0.3012
,57218,0.3016
,57268,0.3025
,57318,0.3018
,57368,0.301
,57418,0.3011
,57468,0.3013
,57518,0.3006
,57568,0.3013
,57618,0.3013
,57668,0.3014
,57718,0.3021
,57768,0.3017
,57818,0.3018
,57868,0.3019
,57918,0.3022
,57968,0.302
,58018,0.3025
,58068,0.3024
,58118,0.3023
,58168,0.302
,58218,0.3018
,58268,0.3013
,58318,0.3016
,58368,0.3014
,58418,0.301
,58468,0.3006
,58518,0.3008
,58568,0.3008
,58618,0.3004
,58668,0.3004
,58718,0.3001
,58765,0.3345
,58815,0.2753
,58865,0.2844
,58915,0.2983
,58965,0.319
,59015,0.3113
,59065,0.3057
,59115,0.3079
,59165,0.305
,59215,0.3021
,59265,0.3104
,59315,0.3107
,59365,0.3162
,59415,0.3149
,59465,0.3125
,59515,0.3093
,59565,0.3065
,59615,0.3069
,59665,0.3055
,59715,0.3042
,59765,0.3048
,59815,0.3041
,59865,0.3021
,59915,0.3044
,59965,0.3057
,60015,0.3048
,60065,0.306
,60115,0.3069
,60165,0.3065
,60215,0.305
,60265,0.3065
,60315,0.3065
,60365,0.3059
,60415,0.3055
,60465,0.3052
,60515,0.3052
,60565,0.306
,60615,0.3063
,60665,0.3055
,60715,0.305
,60765,0.3044
,60815,0.3041
,60865,0.3045
,60915,0.3054
,60965,0.3057
,61015,0.3057
,61065,0.3083
,61115,0.3086
,61165,0.3078
,61215,0.3098
,61265,0.3093
,61315,0.3084
,61365,0.3081
,61415,0.3077
,61465,0.3077
,61515,0.3072
,61565,0.3068
,61615,0.3074
,61665,0.3081
,61715,0.3073
,61765,0.3073
,61815,0.3066
,61865,0.3065
,61915,0.3065
,61965,0.3067
,62015,0.3068
,62065,0.3072
,62115,0.3078
,62165,0.3091
,62215,0.3084
,62265,0.3085
,62315,0.3088
,62365,0.3094
,62415,0.3088
,62465,0.3082
,62515,0.3082
,62565,0.3077
