Step,Value
41663,0.1328
41713,0.1326
41763,0.1323
41813,0.1321
41863,0.1336
41913,0.1336
41963,0.1331
42013,0.1334
42063,0.1329
42113,0.1327
42163,0.1325
42213,0.1321
42263,0.1325
42313,0.1326
42363,0.1329
42413,0.1325
42463,0.1323
42513,0.1327
42563,0.1325
42613,0.1328
42663,0.1329
42713,0.1327
42763,0.1329
42813,0.133
42863,0.1336
42913,0.1335
42963,0.1338
43013,0.1342
43063,0.1346
43113,0.1343
43163,0.1343
43213,0.1341
43263,0.1339
43313,0.1337
43363,0.1335
43413,0.1336
43463,0.1337
43513,0.1336
43563,0.1334
43613,0.1335
43663,0.1337
43713,0.1337
43763,0.1335
43813,0.1336
43863,0.1334
43913,0.1334
43963,0.1336
44013,0.1335
44063,0.1334
44113,0.1335
44163,0.1335
44213,0.1333
44263,0.1332
44313,0.133
44363,0.133
44413,0.1333
44463,0.1332
44513,0.1332
44563,0.1331
44613,0.133
44663,0.1328
44713,0.1327
44763,0.1325
44813,0.1324
44863,0.1322
44913,0.1322
44963,0.1321
45013,0.1321
45063,0.1324
45113,0.1323
45163,0.1322
45213,0.1321
45263,0.1321
45313,0.1336
45352,0.0573
45402,0.1388
45452,0.1371
45502,0.1347
45552,0.1299
45602,0.1271
45652,0.1271
45702,0.1276
45752,0.1259
45802,0.1274
45852,0.1257
45902,0.1256
45952,0.1244
46002,0.1241
46052,0.1241
46102,0.1265
46152,0.1276
46202,0.1284
46252,0.1289
46302,0.1292
46352,0.1292
46402,0.1301
46452,0.1292
46502,0.1296
46552,0.1356
46602,0.1353
46652,0.1349
46702,0.1351
46752,0.1348
46802,0.1348
46852,0.1343
46902,0.1339
46952,0.1334
47002,0.1338
47052,0.1338
47102,0.1334
47152,0.1332
47202,0.1331
47252,0.1327
47302,0.1324
47352,0.1331
47402,0.1329
47452,0.1322
47502,0.1321
47552,0.1323
47602,0.1325
47652,0.1331
47702,0.1327
47752,0.1324
47802,0.1319
47852,0.1319
47902,0.1321
47952,0.1319
48002,0.1316
48052,0.1315
48102,0.1313
48152,0.1313
48202,0.1312
48252,0.131
48302,0.1309
48352,0.1306
48402,0.1306
48452,0.1309
48502,0.1311
48552,0.1312
48602,0.131
48652,0.1312
48702,0.131
48752,0.1309
48802,0.1306
